State,District,Representative
Maryland,02,Johnny Olszewski (D)
Maryland,03,Sarah Elfreth (D)
Maryland,04,Glenn Ivey (D)
Maryland,05,Steny Hoyer (D)
Maryland,06,April McClain Delaney (D)
Maryland,07,Kweisi Mfume (D)
Maryland,08,Jamie Raskin (D)
Massachusetts,01,Richard Neal (D)
Massachusetts,02,James McGovern (D)
Massachusetts,03,Lori Trahan (D)
Massachusetts,04,Jake Auchincloss (D)
Massachusetts,05,Katherine Clark (D)
Massachusetts,06,Seth Moulton (D)
Massachusetts,07,Ayanna Pressley (D)
Massachusetts,08,Stephen Lynch (D)
Massachusetts,09,William Keating (D)
Michigan,01,Jack Bergman (R)
Michigan,02,John Moolenaar (R)
Michigan,03,Hillary Scholten (D)
Michigan,04,Bill Huizenga (R)
Michigan,05,Tim Walberg (R)
Michigan,06,Debbie Dingell (D)
Michigan,07,Tom Barrett (R)
Michigan,08,Kristen McDonald Rivet (D)
Michigan,09,Lisa McClain (R)
Michigan,10,John James (R)
Michigan,11,Haley Stevens (D)
Michigan,12,Rashida Tlaib (D)
Michigan,13,Shri Thanedar (D)
Minnesota,01,Brad Finstad (R)
Minnesota,02,Angie Craig (D)
Minnesota,03,Kelly Morrison (D)
Minnesota,04,Betty McCollum (D)
Minnesota,05,Ilhan Omar (D)
Minnesota,06,Tom Emmer (R)
Minnesota,07,Michelle Fischbach (R)
Minnesota,08,Pete Stauber (R)
Mississippi,01,Trent Kelly (R)
Mississippi,02,Bennie Thompson (D)
Mississippi,03,Michael Guest (R)
Mississippi,04,Mike Ezell (R)
Missouri,01,Wesley Bell (D)
Missouri,02,Ann Wagner (R)
Missouri,03,Robert Onder (R)
Missouri,04,Mark Alford (R)
Missouri,05,Emanuel Cleaver (D)
Missouri,06,Sam Graves (R)
Missouri,07,Eric Burlison (R)
Missouri,08,Jason Smith (R)
Montana,01,Ryan Zinke (R)
Montana,02,Troy Downing (R)
Nebraska,01,Mike Flood (R)
Nebraska,02,Don Bacon (R)
Nebraska,03,Adrian Smith (R)
Nevada,01,Dina Titus (D)
Nevada,02,Mark Amodei (R)
Nevada,03,Susie Lee (D)
Nevada,04,Steven Horsford (D)
New Hampshire,01,Chris Pappas (D)
New Hampshire,02,Maggie Goodlander (D)
New Jersey,01,Donald Norcross (D)
New Jersey,02,Jefferson Van Drew (R)
New Jersey,03,Herbert Conaway (D)
New Jersey,04,Christopher Smith (R)
New Jersey,05,Josh Gottheimer (D)
New Jersey,06,Frank Pallone (D)
New Jersey,07,Thomas Kean (R)
New Jersey,08,Robert Menendez (D)
New Jersey,09,Nellie Pou (D)
New Jersey,10,LaMonica McIver (D)
New Jersey,11,Mikie Sherrill (D)
New Jersey,12,Bonnie Watson Coleman (D)
New Mexico,01,Melanie Stansbury (D)
New Mexico,02,Gabe Vasquez (D)
New Mexico,03,Teresa Leger Fernandez (D)
New York,01,Nick LaLota (R)
New York,02,Andrew Garbarino (R)
New York,03,Thomas R. Suozzi (D)
New York,04,Laura Gillen (D)
New York,05,Gregory Meeks (D)
New York,06,Grace Meng (D)
New York,07,Nydia Velazquez (D)
New York,08,Hakeem Jeffries (D)
New York,09,Yvette Clarke (D)
New York,10,Daniel Goldman (D)
New York,11,Nicole Malliotakis (R)
New York,12,Jerrold Nadler (D)
New York,13,Adriano Espaillat (D)
New York,14,Alexandria Ocasio-Cortez (D)
New York,15,Ritchie Torres (D)
New York,16,George Latimer (D)
New York,17,Michael Lawler (R)
New York,18,Patrick Ryan (D)
New York,19,Josh Riley (D)
New York,20,Paul Tonko (D)
New York,21,Elise Stefanik (R)
New York,22,John Mannion (D)
New York,23,Nicholas Langworthy (R)
New York,24,Claudia Tenney (R)
New York,25,Joseph Morelle (D)
New York,26,Timothy Kennedy (D)
North Carolina,01,Don Davis (D)
North Carolina,02,Deborah Ross (D)
North Carolina,03,Gregory Murphy (R)
North Carolina,04,Valerie Foushee (D)
North Carolina,05,Virginia Foxx (R)
North Carolina,06,Addison McDowell (R)
North Carolina,07,David Rouzer (R)
North Carolina,08,Mark Harris (R)
North Carolina,09,Richard Hudson (R)
North Carolina,10,Pat Harrigan (R)
North Carolina,11,Chuck Edwards (R)
North Carolina,12,Alma Adams (D)
North Carolina,13,Brad Knott (R)
North Carolina,14,Tim Moore (R)
North Dakota,At Large,Julie Fedorchak (R)
Ohio,01,Greg Landsman (D)
Ohio,02,David Taylor (R)
Ohio,03,Joyce Beatty (D)
Ohio,04,Jim Jordan (R)
Ohio,05,Robert Latta (R)
Ohio,06,Michael A. Rulli (R)
Ohio,07,Max Miller (R)
Ohio,08,Warren Davidson (R)
Ohio,09,Marcy Kaptur (D)
Ohio,10,Michael Turner (R)
Ohio,11,Shontel Brown (D)
Ohio,12,Troy Balderson (R)
Ohio,13,Emilia Sykes (D)
Ohio,14,David Joyce (R)
Ohio,15,Mike Carey (R)
Oklahoma,01,Kevin Hern (R)
Oklahoma,02,Josh Brecheen (R)
Oklahoma,03,Frank Lucas (R)
Oklahoma,04,Tom Cole (R)
Oklahoma,05,Stephanie Bice (R)
Oregon,01,Suzanne Bonamici (D)
Oregon,02,Cliff Bentz (R)
Oregon,03,Maxine Dexter (D)
Oregon,04,Val Hoyle (D)
Oregon,05,Janelle Bynum (D)
Oregon,06,Andrea Salinas (D)
Pennsylvania,01,Brian Fizpatrick (R)
Pennsylvania,02,Brendan Boyle (D)
Pennsylvania,03,Dwight Evans (D)
Pennsylvania,04,Madeleine Dean (D)
Pennsylvania,05,Mary Gay Scanlon (D)
Pennsylvania,06,Chrissy Houlahan (D)
Pennsylvania,07,Ryan Mackenzie (R)
Pennsylvania,08,Robert Bresnahan (R)
Pennsylvania,09,Daniel Meuser (R)
Pennsylvania,10,Scott Perry (R)
Pennsylvania,11,Lloyd Smucker (R)
Pennsylvania,12,Summer Lee (D)
Pennsylvania,13,John Joyce (R)
Pennsylvania,14,Guy Reschenthaler (R)
Pennsylvania,15,Glenn Thompson (R)
Pennsylvania,16,Mike Kelly (R)
Pennsylvania,17,Christopher Deluzio (D)
Rhode Island,01,Gabe Amo (D)
Rhode Island,02,Seth Magaziner (D)
South Carolina,01,Nancy Mace (R)
South Carolina,02,Joe Wilson (R)
South Carolina,03,Sheri Biggs (R)
South Carolina,04,William Timmons (R)
South Carolina,05,Ralph Norman (R)
South Carolina,06,James Clyburn (D)
South Carolina,07,Russell Fry (R)
South Dakota,At Large,Dusty Johnson (R)
Tennessee,01,Diana Harshbarger (R)
Tennessee,02,Tim Burchett (R)
Tennessee,03,Charles Fleischmann (R)
Tennessee,04,Scott DesJarlais (R)
Tennessee,05,Andrew Ogles (R)
Tennessee,06,John Rose (R)
Tennessee,07,VACANT
Tennessee,08,David Kustoff (R)
Tennessee,09,Steve Cohen (D)
Texas,01,Nathaniel Moran (R)
Texas,02,Dan Crenshaw (R)
Texas,03,Keith Self (R)
Texas,04,Pat Fallon (R)
Texas,05,Lance Gooden (R)
Texas,06,Jake Ellzey (R)
Texas,07,Lizzie Fletcher (D)
Texas,08,Morgan Luttrell (R)
Texas,09,Al Green (D)
Texas,10,Michael McCaul (R)
Texas,11,August Pfluger (R)
Texas,12,Craig Goldman (R)
Texas,13,Ronny Jackson (R)
Texas,14,Randy Weber (R)
Texas,15,Monica De La Cruz (R)
Texas,16,Veronica Escobar (D)
Texas,17,Pete Sessions (R)
Texas,18,VACANT
Texas,19,Jodey Arrington (R)
Texas,20,Joaquin Castro (D)
Texas,21,Chip Roy (R)
Texas,22,Troy Nehls (R)
Texas,23,Tony Gonzales (R)
Texas,24,Beth Van Duyne (R)
Texas,25,Roger Williams (R)
Texas,26,Brandon Gill (R)
Texas,27,Michael Cloud (R)
Texas,28,Henry Cuellar (D)
Texas,29,Sylvia Garcia (D)
Texas,30,Jasmine Crockett (D)
Texas,31,John Carter (R)
Texas,32,Julie Johnson (D)
Texas,33,Marc Veasey (D)
Texas,34,Vicente Gonzalez (D)
Texas,35,Greg Casar (D)
Texas,36,Brian Babin (R)
Texas,37,Lloyd Doggett (D)
Texas,38,Wesley Hunt (R)
Utah,01,Blake Moore (R)
Utah,02,Celeste Maloy (R)
Utah,03,Mike Kennedy (R)
Utah,04,Burgess Owens (R)
Vermont,At Large,Becca Balint (D)
Virginia,01,Robert Wittman (R)
Virginia,02,Jennifer Kiggans (R)
Virginia,03,Robert Scott (D)
Virginia,04,Jennifer McClellan (D)
Virginia,05,John McGuire (R)
Virginia,06,Ben Cline (R)
Virginia,07,Eugene Vindman (D)
Virginia,08,Donald Beyer (D)
Virginia,09,H. Griffith (R)
Virginia,10,Suhas Subramanyam (D)
Virginia,11,VACANT
Washington,01,Suzan Delbene (D)
Washington,02,Rick Larsen (D)
Washington,03,Marie Perez (D)
Washington,04,Dan Newhouse (R)
Washington,05,Michael Baumgartner (R)
Washington,06,Emily Randall (D)
Washington,07,Pramila Jayapal (D)
Washington,08,Kim Schrier (D)
Washington,09,Adam Smith (D)
Washington,10,Marilyn Strickland (D)
West Virginia,01,Carol Miller (R)
West Virginia,02,Riley Moore (R)
Wisconsin,01,Bryan Steil (R)
Wisconsin,02,Mark Pocan (D)
Wisconsin,03,Derrick Van Orden (R)
Wisconsin,04,Gwen Moore (D)
Wisconsin,05,Scott Fitzgerald (R)
Wisconsin,06,Glenn Grothman (R)
Wisconsin,07,Thomas Tiffany (R)
Wisconsin,08,Tony Wied (R)
Wyoming,At Large,Harriet Hageman (R)
